type,timestamp,health,health_scale,food_level,walk_speed,fly_speed,is_flying,allow_flight,hand_item_type,pktX,pktY,pktZ,pktYaw,pktPitch,pktAction
PacketPlayInPosition,1673879372639,20.0,20.0,20,0.2,0.1,false,true,AIR,19.901226178270363,98.0,9.883083586696127,0.0,0.0,0
PacketPlayInSettings,1673879372937,20.0,20.0,20,0.2,0.1,false,true,AIR
PacketPlayInLook,1673879373037,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,311.0945,15.214614,0
PacketPlayInLook,1673879373087,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,335.21112,8.012007,0
PacketPlayInLook,1673879373137,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,346.05548,2.99446,0
PacketPlayInEntityAction,1673879373386,20.0,20.0,20,0.2,0.1,false,true,AIR,0,0,0,0,0,START_SPRINTING
PacketPlayInPositionLook,1673879373386,20.0,20.0,20,0.2,0.1,false,true,AIR,19.940062523346924,98.0,10.004419867995718,342.25186,-0.080810405,0
PacketPlayInPositionLook,1673879373436,20.0,20.0,20,0.2,0.1,false,true,AIR,20.00655271170416,98.4,10.283920039704778,346.622,-7.9308434,0
PacketPlayInPositionLook,1673879373486,20.0,20.0,20,0.2,0.1,false,true,AIR,19.990860135908957,98.0,10.570791141620614,363.13135,-11.977252,0
PacketPlayInPositionLook,1673879373541,20.0,20.0,20,0.2,0.1,false,true,AIR,19.671673922273726,98.4,11.099291327039786,391.1325,-10.682402,0
PacketPlayInPositionLook,1673879373587,20.0,20.0,20,0.2,0.1,false,true,AIR,19.337736600149647,98.0,11.318643489144012,416.7058,-8.416412,0
PacketPlayInPositionLook,1673879373642,20.0,20.0,20,0.2,0.1,false,true,AIR,18.506570797069767,98.4,11.533967921470909,435.48117,-5.42207,0
PacketPlayInPositionLook,1673879373687,20.0,20.0,20,0.2,0.1,false,true,AIR,18.030259701237966,98.0,11.604762016367745,441.55078,-3.8035064,0
PacketPlayInPosition,1673879373740,20.0,20.0,20,0.2,0.1,false,true,AIR,17.00666715629543,98.4,11.756898526301049,0.0,0.0,0
PacketPlayInPosition,1673879373806,20.0,20.0,20,0.2,0.1,false,true,AIR,16.471088032405692,98.0,11.836501625311792,0.0,0.0,0
PacketPlayInPosition,1673879373836,20.0,20.0,20,0.2,0.1,false,true,AIR,15.320128495166653,98.4,12.00756868508588,0.0,0.0,0
PacketPlayInPosition,1673879373886,20.0,20.0,20,0.2,0.1,false,true,AIR,14.74124459389611,98.0,12.093608171042492,0.0,0.0,0
PacketPlayInPosition,1673879373936,20.0,20.0,20,0.2,0.1,false,true,AIR,13.49722309006571,98.4,12.278507026363249,0.0,0.0,0
PacketPlayInPosition,1673879373986,20.0,20.0,20,0.2,0.1,false,true,AIR,12.886698120154103,98.5,12.369249322805727,0.0,0.0,0
PacketPlayInPositionLook,1673879374037,20.0,20.0,20,0.2,0.1,false,true,AIR,12.602621380399636,98.5,12.412747418528529,440.66058,-3.64165,0
PacketPlayInPositionLook,1673879374087,20.0,20.0,20,0.2,0.1,false,true,AIR,12.319401751624516,98.9,12.460996089827749,440.33685,-2.8323684,0
PacketPlayInPositionLook,1673879374138,20.0,20.0,20,0.2,0.1,false,true,AIR,12.035103164868525,98.5,12.502415959913764,441.71262,-0.56637937,0
PacketPlayInPositionLook,1673879374186,20.0,20.0,20,0.2,0.1,false,true,AIR,11.418604249922703,98.9,12.5359028836422,446.89203,2.427963,0
PacketPlayInPositionLook,1673879374236,20.0,20.0,20,0.2,0.1,false,true,AIR,11.022932706595284,98.5,12.480463354995043,457.9792,5.6650896,0
PacketPlayInPositionLook,1673879374286,20.0,20.0,20,0.2,0.1,false,true,AIR,10.213415712551093,99.4,12.194310669416485,469.47098,7.6882935,0
