type,timestamp,health,health_scale,food_level,walk_speed,fly_speed,is_flying,allow_flight,hand_item_type,pktX,pktY,pktZ,pktYaw,pktPitch,pktAction
PacketPlayInEntityAction,1673879340715,20.0,20.0,20,0.2,0.1,false,true,AIR,0,0,0,0,0,START_SPRINTING
PacketPlayInPosition,1673879340715,20.0,20.0,20,0.2,0.1,false,true,AIR,10.662900981127052,98.5,-9.190795743351158,0.0,0.0,0
PacketPlayInPositionLook,1673879340784,20.0,20.0,20,0.2,0.1,false,true,AIR,10.634930336004418,98.5,-9.385738010784895,172.46451,12.7058325,0
PacketPlayInPositionLook,1673879340786,20.0,20.0,20,0.2,0.1,false,true,AIR,10.611724192149786,98.42159999847412,-9.619329182517532,176.42998,7.93107,0
PacketPlayInPositionLook,1673879340837,20.0,20.0,20,0.2,0.1,false,true,AIR,10.590575569249458,98.26636799395752,-9.770898142363668,160.56804,8.740352,0
PacketPlayInPositionLook,1673879340892,20.0,20.0,20,0.2,0.1,false,true,AIR,10.555260585523813,98.03584062504456,-9.92859946503146,140.9025,13.353258,0
PacketPlayInPosition,1673879340968,20.0,20.0,20,0.2,0.1,false,true,AIR,10.507054213075603,98.0,-10.091881238027787,0.0,0.0,0
PacketPlayInPosition,1673879340986,20.0,20.0,20,0.2,0.1,false,true,AIR,10.382837734950254,98.0,-10.339335474449866,0.0,0.0,0
PacketPlayInPosition,1673879341038,20.0,20.0,20,0.2,0.1,false,true,AIR,10.234666852082869,98.5,-10.573313321942894,0.0,0.0,0
PacketPlayInPosition,1673879341104,20.0,20.0,20,0.2,0.1,false,true,AIR,10.07341686270716,98.5,-10.799933060225998,0.0,0.0,0
PacketPlayInPositionLook,1673879341136,20.0,20.0,20,0.2,0.1,false,true,AIR,9.907853704676194,98.5,-11.024767911395509,142.52107,13.110474,0
PacketPlayInPositionLook,1673879341186,20.0,20.0,20,0.2,0.1,false,true,AIR,9.595595138006749,98.91999998688698,-11.388294063594659,137.34167,14.405325,0
PacketPlayInPositionLook,1673879341236,20.0,20.0,20,0.2,0.1,false,true,AIR,9.403075623607894,99.2531999805212,-11.599588410431473,120.1849,15.133678,0
PacketPlayInPositionLook,1673879341287,20.0,20.0,20,0.2,0.1,false,true,AIR,9.202474074665705,99.50133597911214,-11.793769930210745,94.28788,14.648109,0
PacketPlayInPositionLook,1673879341337,20.0,20.0,20,0.2,0.1,false,true,AIR,8.995560191676182,99.66610926093821,-11.96302491721952,73.00377,13.838827,0
PacketPlayInPositionLook,1673879341386,20.0,20.0,20,0.2,0.1,false,true,AIR,8.785521103316242,99.74918707874468,-12.10376995722613,58.598557,13.27233,0
PacketPlayInPositionLook,1673879341436,20.0,20.0,20,0.2,0.1,false,true,AIR,8.57409873264832,99.75220334025373,-12.216431194776304,52.771725,12.220264,0
