type,timestamp,health,health_scale,food_level,walk_speed,fly_speed,is_flying,allow_flight,hand_item_type,pktX,pktY,pktZ,pktYaw,pktPitch,pktAction
PacketPlayInEntityAction,1673879175788,20.0,20.0,20,0.2,0.1,false,true,AIR,0,0,0,0,0,START_SPRINTING
PacketPlayInPosition,1673879175788,20.0,20.0,20,0.2,0.1,false,true,AIR,62.82617914602898,99.0,-23.928329661679612,0.0,0.0,0
PacketPlayInPosition,1673879175838,20.0,20.0,20,0.2,0.1,false,true,AIR,62.63448327342828,99.0,-23.883096000333115,0.0,0.0,0
PacketPlayInPosition,1673879175924,20.0,20.0,20,0.2,0.1,false,true,AIR,62.40582257696753,99.0,-23.82913990640873,0.0,0.0,0
PacketPlayInPosition,1673879175938,20.0,20.0,20,0.2,0.1,false,true,AIR,62.15697908433491,99.0,-23.77042136374365,0.0,0.0,0
PacketPlayInPosition,1673879175988,20.0,20.0,20,0.2,0.1,false,true,AIR,61.897115783712465,99.0,-23.70910252376412,0.0,0.0,0
PacketPlayInPosition,1673879176040,20.0,20.0,20,0.2,0.1,false,true,AIR,61.63123566722871,99.0,-23.64636392128599,0.0,0.0,0
PacketPlayInPosition,1673879176123,20.0,20.0,20,0.2,0.1,false,true,AIR,61.3620703689031,99.0,-23.58285012839358,0.0,0.0,0
PacketPlayInPosition,1673879176139,20.0,20.0,20,0.2,0.1,false,true,AIR,60.89645710497806,99.41999998688698,-23.47298134361584,0.0,0.0,0
PacketPlayInPosition,1673879176188,20.0,20.0,20,0.2,0.1,false,true,AIR,60.617433283165695,99.7531999805212,-23.407141277394757,0.0,0.0,0
PacketPlayInPosition,1673879176239,20.0,20.0,20,0.2,0.1,false,true,AIR,60.33872264781834,100.00133597911214,-23.341375112642215,0.0,0.0,0
PacketPlayInPosition,1673879176288,20.0,20.0,20,0.2,0.1,false,true,AIR,60.06029701216235,100.16610926093821,-23.275676198227988,0.0,0.0,0
PacketPlayInPosition,1673879176338,20.0,20.0,20,0.2,0.1,false,true,AIR,59.78213072623299,100.24918707874468,-23.210038481623386,0.0,0.0,0
PacketPlayInPosition,1673879176388,20.0,20.0,20,0.2,0.1,false,true,AIR,59.50420044856166,100.25220334025373,-23.14445645502715,0.0,0.0,0
PacketPlayInPositionLook,1673879176442,20.0,20.0,20,0.2,0.1,false,true,AIR,59.22645223595045,100.17675927506424,-23.079065475744095,77.04974,31.804853,0
PacketPlayInPositionLook,1673879176492,20.0,20.0,20,0.2,0.1,false,true,AIR,58.94881451423558,100.02442408821369,-23.01409383683849,77.61624,30.105362,0
PacketPlayInPositionLook,1673879176539,20.0,20.0,20,0.2,0.1,false,true,AIR,58.67121709756987,99.79673560066871,-22.94978568900726,78.263664,25.978025,0
PacketPlayInPositionLook,1673879176591,20.0,20.0,20,0.2,0.1,false,true,AIR,58.39365635849996,99.49520087700593,-22.886081318071113,78.263664,21.526976,0
PacketPlayInPositionLook,1673879176641,20.0,20.0,20,0.2,0.1,false,true,AIR,58.116158718271826,99.1212968405392,-22.82278535301653,77.93995,19.018204,0
PacketPlayInPositionLook,1673879176689,20.0,20.0,20,0.2,0.1,false,true,AIR,57.838726181402606,99.0,-22.759825209345436,77.859024,18.28985,0
PacketPlayInPosition,1673879176764,20.0,20.0,20,0.2,0.1,false,true,AIR,57.26619080873591,99.41999998688698,-22.63364880297474,0.0,0.0,0
PacketPlayInPositionLook,1673879176788,20.0,20.0,20,0.2,0.1,false,true,AIR,56.92868399971607,99.7531999805212,-22.559362233459076,77.7781,18.208921,0
PacketPlayInPosition,1673879176838,20.0,20.0,20,0.2,0.1,false,true,AIR,56.59665033542255,100.00133597911214,-22.486367209616343,0.0,0.0,0
PacketPlayInPositionLook,1673879176888,20.0,20.0,20,0.2,0.1,false,true,AIR,56.26964416604335,100.16610926093821,-22.414335204373884,77.292534,17.966137,0
PacketPlayInPositionLook,1673879176973,20.0,20.0,20,0.2,0.1,false,true,AIR,55.94724512917039,100.24918707874468,-22.343039039774403,76.96882,17.80428,0
PacketPlayInPositionLook,1673879176998,20.0,20.0,20,0.2,0.1,false,true,AIR,55.62907148848816,100.25220334025373,-22.272272167807017,76.64511,17.561493,0
PacketPlayInPositionLook,1673879177041,20.0,20.0,20,0.2,0.1,false,true,AIR,55.314776657426336,100.17675927506424,-22.20184681836922,76.3214,17.399635,0
PacketPlayInPositionLook,1673879177125,20.0,20.0,20,0.2,0.1,false,true,AIR,55.00408980225676,100.02442408821369,-22.131419439487637,75.59305,16.994995,0
PacketPlayInPositionLook,1673879177140,20.0,20.0,20,0.2,0.1,false,true,AIR,54.69688551758794,99.79673560066871,-22.06025965365098,73.893555,16.509428,0
PacketPlayInPositionLook,1673879177188,20.0,20.0,20,0.2,0.1,false,true,AIR,54.39330063310335,99.49520087700593,-21.987028483881453,70.57549,15.862003,0
PacketPlayInPositionLook,1673879177240,20.0,20.0,20,0.2,0.1,false,true,AIR,54.09356770282515,99.1212968405392,-21.91047057978886,67.09558,15.2955065,0
PacketPlayInPosition,1673879177288,20.0,20.0,20,0.2,0.1,false,true,AIR,53.79671987582276,99.0,-21.850581985363124,0.0,0.0,0
PacketPlayInPosition,1673879177338,20.0,20.0,20,0.2,0.1,false,true,AIR,53.2219058522556,99.41999998688698,-21.76713318573198,0.0,0.0,0
PacketPlayInPosition,1673879177388,20.0,20.0,20,0.2,0.1,false,true,AIR,52.883966506345196,99.7531999805212,-21.731349236147437,0.0,0.0,0
PacketPlayInPositionLook,1673879177440,20.0,20.0,20,0.2,0.1,false,true,AIR,52.55226827650661,100.00133597911214,-21.708359025040796,66.61001,15.376434,0
PacketPlayInPositionLook,1673879177488,20.0,20.0,20,0.2,0.1,false,true,AIR,52.2259637997464,100.16610926093821,-21.69625571681901,64.82959,16.02386,0
PacketPlayInPositionLook,1673879177539,20.0,20.0,20,0.2,0.1,false,true,AIR,51.90424981156187,100.24918707874468,-21.693122371381644,62.644524,16.752214,0
PacketPlayInPositionLook,1673879177589,20.0,20.0,20,0.2,0.1,false,true,AIR,51.586316586734924,100.25220334025373,-21.699625869563345,59.488327,17.237782,0
PacketPlayInKeepAlive,1673879177620,20.0,20.0,20,0.2,0.1,false,true,AIR
PacketPlayInPositionLook,1673879177638,20.0,20.0,20,0.2,0.1,false,true,AIR,51.27135169288103,100.17675927506424,-21.709821958528526,54.470783,17.399637,0
PacketPlayInPositionLook,1673879177688,20.0,20.0,20,0.2,0.1,false,true,AIR,50.9588535123817,100.02442408821369,-21.72159426367958,50.505302,17.966133,0
PacketPlayInPositionLook,1673879177738,20.0,20.0,20,0.2,0.1,false,true,AIR,50.65561878231997,99.79673560066871,-21.715175839263793,47.753742,18.12799,0
PacketPlayInPositionLook,1673879177788,20.0,20.0,20,0.2,0.1,false,true,AIR,50.36120620330356,99.49520087700593,-21.69178151057868,46.458893,18.12799,0
PacketPlayInPositionLook,1673879177838,20.0,20.0,20,0.2,0.1,false,true,AIR,50.07563299745986,99.1212968405392,-21.652123290477,43.86919,18.53263,0
PacketPlayInPositionLook,1673879177888,20.0,20.0,20,0.2,0.1,false,true,AIR,49.799334125798936,99.0,-21.596556734989658,40.146492,20.151194,0
PacketPlayInPositionLook,1673879177938,20.0,20.0,20,0.2,0.1,false,true,AIR,49.35352631743275,99.41999998688698,-21.282535687701746,36.423794,22.902752,0
PacketPlayInPositionLook,1673879177989,20.0,20.0,20,0.2,0.1,false,true,AIR,49.095959296815145,99.7531999805212,-21.08989433269354,33.753166,26.301735,0
PacketPlayInPositionLook,1673879178039,20.0,20.0,20,0.2,0.1,false,true,AIR,48.849387969864146,100.00133597911214,-20.89221329485615,28.573761,30.348143,0
PacketPlayInPositionLook,1673879178089,20.0,20.0,20,0.2,0.1,false,true,AIR,48.61391121328515,100.16610926093821,-20.689386884443326,25.822203,31.238354,0
PacketPlayInPositionLook,1673879178138,20.0,20.0,20,0.2,0.1,false,true,AIR,48.38970982094088,100.24918707874468,-20.481344168212928,22.908789,30.91464,0
PacketPlayInPositionLook,1673879178188,20.0,20.0,20,0.2,0.1,false,true,AIR,48.177483164492536,100.25220334025373,-20.267901966905825,18.781454,29.862574,0
PacketPlayInPositionLook,1673879178238,20.0,20.0,20,0.2,0.1,false,true,AIR,47.97847191798184,100.17675927506424,-20.04887848506454,13.359267,28.082155,0
PacketPlayInPositionLook,1673879178290,20.0,20.0,20,0.2,0.1,false,true,AIR,47.793107060633396,100.02442408821369,-19.824446534001236,9.636571,26.54452,0
PacketPlayInPositionLook,1673879178366,20.0,20.0,20,0.2,0.1,false,true,AIR,47.62137148334665,99.79673560066871,-19.59491708680544,6.885013,25.087812,0
PacketPlayInPositionLook,1673879178388,20.0,20.0,20,0.2,0.1,false,true,AIR,47.46264811656691,99.49520087700593,-19.360682768015568,5.5092344,23.954817,0
PacketPlayInPositionLook,1673879178438,20.0,20.0,20,0.2,0.1,false,true,AIR,47.315943426953396,99.1212968405392,-19.12215053154212,5.1045933,23.307392,0
PacketPlayInPositionLook,1673879178489,20.0,20.0,20,0.2,0.1,false,true,AIR,47.30000001192093,99.0,-18.87970395631192,5.023665,22.740894,0
PacketPlayInEntityAction,1673879178541,20.0,20.0,20,0.2,0.1,false,true,AIR,0,0,0,0,0,STOP_SPRINTING
PacketPlayInPositionLook,1673879178541,20.0,20.0,20,0.2,0.1,false,true,AIR,47.30000001192093,99.41999998688698,-18.561453592409173,5.023665,22.255325,0
