type,timestamp,health,health_scale,food_level,walk_speed,fly_speed,is_flying,allow_flight,hand_item_type,pktX,pktY,pktZ,pktYaw,pktPitch,pktAction
PacketPlayInLook,1673878947693,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,-546.75073,24.683083,0
PacketPlayInLook,1673878947743,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,-593.2844,33.74704,0
PacketPlayInLook,1673878947793,20.0,20.0,20,0.2,0.1,false,true,AIR,0.0,0.0,0.0,-638.1186,38.11716,0
PacketPlayInPositionLook,1673878947843,20.0,20.0,20,0.2,0.1,false,true,AIR,15.41178807188114,98.0,-5.309486185895129,-670.2471,42.08264,0
PacketPlayInPosition,1673878947892,20.0,20.0,20,0.2,0.1,false,true,AIR,15.475098970721568,98.0,-5.2346815892922125,0.0,0.0,0
PacketPlayInPosition,1673878947942,20.0,20.0,20,0.2,0.1,false,true,AIR,15.637723041923033,98.2,-5.042534137125443,0.0,0.0,0
PacketPlayInPosition,1673878947992,20.0,20.0,20,0.2,0.1,false,true,AIR,15.8102784303606,98.0,-4.838652399402289,0.0,0.0,0
PacketPlayInKeepAlive,1673878948020,20.0,20.0,20,0.2,0.1,false,true,AIR
PacketPlayInPosition,1673878948058,20.0,20.0,20,0.2,0.1,false,true,AIR,15.992765136034274,98.2,-4.623036376122749,0.0,0.0,0
PacketPlayInEntityAction,1673878948092,20.0,20.0,20,0.2,0.1,false,true,AIR,0,0,0,0,0,START_SPRINTING
PacketPlayInPosition,1673878948092,20.0,20.0,20,0.2,0.1,false,true,AIR,16.111091191748777,98.0,-4.340938508156633,0.0,0.0,0
PacketPlayInPositionLook,1673878948142,20.0,20.0,20,0.2,0.1,false,true,AIR,16.088878279556354,98.2,-3.992144443831859,-673.2414,41.516144,0
PacketPlayInPositionLook,1673878948192,20.0,20.0,20,0.2,0.1,false,true,AIR,16.09871347933007,98.0,-3.6280834691230583,-682.54816,39.250153,0
PacketPlayInPositionLook,1673878948242,20.0,20.0,20,0.2,0.1,false,true,AIR,16.171819395709637,98.2,-3.2556245776778088,-692.9879,36.093952,0
PacketPlayInPositionLook,1673878948293,20.0,20.0,20,0.2,0.1,false,true,AIR,16.311468598399703,98.0,-2.8852972624417834,-701.1617,31.966618,0
PacketPlayInPositionLook,1673878948343,20.0,20.0,20,0.2,0.1,false,true,AIR,16.50325087142495,98.2,-2.5206366492952785,-706.17926,26.54443,0
